"clave_institucion","clave_producto_hipotecario","producto_hipotecario","clave"
"040014","2415","Hipoteca 10 x 1000 COFINAVIT Seguro Mensual","0400142415"
"040014","2416","Hipoteca 10 x 1000 FOVISSSTE Pagos Congelados Seguro Mensual","0400142416"
"040014","2433","Hipoteca Crediferente Santander Adquisición con Apoyo INFONAVIT Pagos Crecientes Seguro Mensual","0400142433"
"040014","2434","Hipoteca Crediferente Santander Seguro Mensual. Cofinanciamiento. Pagos Programados","0400142434"
"040014","2435","Hipoteca Crediferente Santander Seguro Mensual. FOVISSSTE. Pagos Programados","0400142435"
"040014","2436","Hipoteca Crediferente Santander. Apoyo Infonavit. Pagos Programados","0400142436"
"040014","2437","Hipoteca Crediferente Santander. Cofinanciamiento. Pagos Programados","0400142437"
"040014","2438","Hipoteca Crediferente Santander. FOVISSSTE. Pagos Programados","0400142438"
"040014","2440","Hipoteca Santander Premier Adquisición Pagos Crecientes Seguro Financiado","0400142440"
"040014","2441","Hipoteca Santander Premier COFINAVIT Pagos Crecientes Seguro Financiado","0400142441"
"040014","2442","Hipoteca Santander Premier FOVISSSTE Pagos Crecientes Seguro Financiado","0400142442"
"040014","2443","Hipoteca Santander Premier Sustitución Pagos Crecientes Seguro Financiado","0400142443"
"040014","2444","Hipoteca Santander Premier Liquidez Pagos Crecientes Seguro Financiado","0400142444"
"040014","2445","Hipoteca Santander Premier Adquisición Pagos Crecientes Seguro Mensual","0400142445"
"040014","2446","Hipoteca Santander Premier COFINAVIT Pagos Crecientes Seguro Mensual","0400142446"
"040014","2447","Hipoteca Santander Premier FOVISSSTE Pagos Crecientes Seguro Mensual","0400142447"
"040014","2448","Hipoteca Santander Premier Sustitución Pagos Crecientes Seguro Mensual","0400142448"
"040014","2449","Hipoteca Santander Premier Liquidez Pagos Crecientes Seguro Mensual","0400142449"
"040014","2450","Hipoteca Santander Premier Adquisición Pagos Congelados Seguro Financiado","0400142450"
"040014","2451","Hipoteca Santander Premier COFINAVIT Pagos Congelados Seguro Financiado","0400142451"
"040014","2452","Hipoteca Santander Premier FOVISSSTE Pagos Congelados Seguro Financiado","0400142452"
"040014","2453","Hipoteca Santander Premier Sustitución Pagos Congelados Seguro Financiado","0400142453"
"040014","2454","Hipoteca Santander Premier Liquidez Pagos Congelados Seguro Financiado","0400142454"
"040014","2455","Hipoteca Santander Premier Adquisición Pagos Congelados Seguro Mensual","0400142455"
"040014","2456","Hipoteca Santander Premier COFINAVIT Pagos Congelados Seguro Mensual","0400142456"
"040014","2457","Hipoteca Santander Premier FOVISSSTE Pagos Congelados Seguro Mensual","0400142457"
"040014","2458","Hipoteca Santander Premier Sustitución Pagos Congelados Seguro Mensual","0400142458"
"040014","2459","Hipoteca Santander Premier Liquidez Pagos Congelados Seguro Mensual","0400142459"
"040014","2460","Hipoteca Santander Premier Adquisición con Apoyo INFONAVIT Pagos Crecientes Seguro Financiado","0400142460"
"040014","2461","Hipoteca Santander Premier Adquisición con Apoyo INFONAVIT Pagos Congelados Seguro Financiado","0400142461"
